x,setpoint,measurement
318,20.00,19.13
319,20.00,20.33
320,20.00,20.33
321,0.00,20.92
322,0.00,17.34
323,0.00,12.55
324,0.00,8.97
325,0.00,5.38
326,0.00,1.20
327,0.00,0.00
328,0.00,0.00
329,0.00,0.00
330,0.00,0.00
331,0.00,0.00
332,0.00,0.00
333,0.00,0.00
334,0.00,0.00
335,0.00,0.00
336,0.00,0.00
337,0.00,0.00
338,0.00,0.00
339,0.00,0.00
340,0.00,0.00
341,0.00,0.00
342,0.00,0.00
343,0.00,0.00
344,0.00,0.00
345,0.00,0.00
346,0.00,0.00
347,0.00,0.00
348,0.00,0.00
349,0.00,0.00
350,0.00,0.00
351,0.00,0.00
352,0.00,0.00
353,0.00,0.00
354,0.00,0.00
355,0.00,0.00
356,0.00,0.00
357,0.00,0.00
358,0.00,0.00
359,0.00,0.00
360,0.00,0.00
361,40.00,0.00
362,40.00,32.28
363,40.00,48.42
364,40.00,44.24
365,40.00,40.05
366,40.00,37.66
367,40.00,37.07
368,40.00,38.26
369,40.00,35.87
370,40.00,37.07
371,40.00,37.07
372,40.00,37.66
373,40.00,36.47
374,40.00,36.47
375,40.00,37.66
376,40.00,37.66
377,40.00,37.66
378,40.00,37.07
379,40.00,37.66
380,40.00,38.26
381,40.00,37.07
382,40.00,36.47
383,40.00,36.47
384,40.00,38.26
385,40.00,38.26
386,40.00,37.66
387,40.00,37.07
388,40.00,38.26
389,40.00,37.07
390,40.00,37.07
391,40.00,37.07
392,40.00,37.07
393,40.00,37.66
394,40.00,36.47
395,40.00,38.26
396,40.00,36.47
397,40.00,37.66
398,40.00,37.07
399,40.00,37.66
400,40.00,38.26
401,20.00,37.66
402,20.00,34.08
403,20.00,29.29
404,20.00,26.30
405,20.00,21.52
406,20.00,21.52
407,20.00,20.92
408,20.00,20.33
409,20.00,19.13
410,20.00,20.33
411,20.00,20.33
412,20.00,19.13
413,20.00,19.73
414,20.00,20.92
415,20.00,19.73
416,20.00,19.73
417,20.00,20.33
418,20.00,20.33
419,20.00,20.33
420,20.00,20.33
421,20.00,19.73
422,20.00,20.33
423,20.00,19.73
424,20.00,20.33
425,20.00,20.33
426,20.00,19.13
427,20.00,20.33
428,20.00,20.33
429,20.00,19.73
430,20.00,19.73
431,20.00,19.13
432,20.00,20.33
433,20.00,19.13
434,20.00,19.73
435,20.00,19.13
436,20.00,19.13
437,20.00,19.73
438,20.00,19.73
439,20.00,19.13
440,20.00,20.33
441,0.00,19.73
442,0.00,16.14
443,0.00,11.96
444,0.00,8.37
445,0.00,4.18
446,0.00,0.00
447,0.00,0.00
448,0.00,0.00
449,0.00,0.00
450,0.00,0.00
