x,setpoint,measurement
318,20.00,20.92
319,20.00,18.53
320,20.00,20.33
321,0.00,20.92
322,0.00,16.74
323,0.00,14.35
324,0.00,9.57
325,0.00,6.58
326,0.00,1.79
327,0.00,0.60
328,0.00,0.00
329,0.00,0.00
330,0.00,0.00
331,0.00,0.00
332,0.00,0.00
333,0.00,0.00
334,0.00,0.00
335,0.00,0.00
336,0.00,0.00
337,0.00,0.00
338,0.00,0.00
339,0.00,0.00
340,0.00,0.00
341,0.00,0.00
342,0.00,0.00
343,0.00,0.00
344,0.00,0.00
345,0.00,0.00
346,0.00,0.00
347,0.00,0.00
348,0.00,0.00
349,0.00,0.00
350,0.00,0.00
351,0.00,0.00
352,0.00,0.00
353,0.00,0.00
354,0.00,0.00
355,0.00,0.00
356,0.00,0.00
357,0.00,0.00
358,0.00,0.00
359,0.00,0.00
360,0.00,0.00
361,40.00,0.00
362,40.00,26.90
363,40.00,41.85
364,40.00,38.26
365,40.00,36.47
366,40.00,37.66
367,40.00,37.07
368,40.00,37.07
369,40.00,38.26
370,40.00,37.07
371,40.00,36.47
372,40.00,37.07
373,40.00,37.07
374,40.00,37.66
375,40.00,37.07
376,40.00,37.07
377,40.00,38.86
378,40.00,36.47
379,40.00,38.26
380,40.00,37.66
381,40.00,37.07
382,40.00,37.07
383,40.00,37.66
384,40.00,37.07
385,40.00,37.07
386,40.00,38.26
387,40.00,37.07
388,40.00,37.07
389,40.00,38.26
390,40.00,38.26
391,40.00,36.47
392,40.00,38.86
393,40.00,38.26
394,40.00,37.07
395,40.00,38.26
396,40.00,37.66
397,40.00,37.66
398,40.00,38.26
399,40.00,38.26
400,40.00,38.26
401,20.00,37.66
402,20.00,35.27
403,20.00,31.68
404,20.00,26.90
405,20.00,25.11
406,20.00,21.52
407,20.00,21.52
408,20.00,22.12
409,20.00,19.13
410,20.00,20.92
411,20.00,21.52
412,20.00,19.13
413,20.00,20.33
414,20.00,21.52
415,20.00,19.13
416,20.00,20.33
417,20.00,21.52
